"","name","Nationality","treated","margin","pre_post"
"186","TRANSDEV GROUP","FR",1,18.688,1
"187","COBHAM AEROSPACE COMMUNICATIONS DOURDAN","FR",1,-4.993,0
"188","COBHAM AEROSPACE COMMUNICATIONS DOURDAN","FR",1,-3.479,1
"189","ARKEMA FRANCE","FR",1,NA,0
"190","ARKEMA FRANCE","FR",1,NA,1
"191","AEROTECNIC COMPOSITES SOCIEDAD LIMITADA.","ES",1,4.512,0
"192","AEROTECNIC COMPOSITES SOCIEDAD LIMITADA.","ES",1,10.827,1
"193","AGRICOLA VILLENA COOP V","ES",1,0.02,0
"194","AGRICOLA VILLENA COOP V","ES",1,0.388,1
"195","ARASOL ARAGONESA DE SOLDADURA SL","ES",1,1.642,0
"196","ARASOL ARAGONESA DE SOLDADURA SL","ES",1,0.637,1
"197","ARENYS INOX SL","ES",1,2.497,0
"198","ARENYS INOX SL","ES",1,4.767,1
"199","AUDIOTEC INGENIERIA ACUSTICA SA","ES",1,3.125,0
"200","AUDIOTEC INGENIERIA ACUSTICA SA","ES",1,5.102,1
"201","AVRAMAR ESPANA ACUICULTURA SL.","ES",1,3.748,0
"202","AVRAMAR ESPANA ACUICULTURA SL.","ES",1,3.438,1
"203","BO DE DEBO, S.L.","ES",1,11.166,0
"204","BO DE DEBO, S.L.","ES",1,9.593,1
"205","CAIXABANK, S.A.","ES",1,7.069,0
"206","CAIXABANK, S.A.","ES",1,17.202,1
"207","CIRCONTROL SA","ES",1,21.237,0
"208","CIRCONTROL SA","ES",1,10.942,1
"209","COMPOSAN INDUSTRIAL Y TECNOLOGIA SLU","ES",1,5.697,0
"210","COMPOSAN INDUSTRIAL Y TECNOLOGIA SLU","ES",1,4.061,1
"211","CONSERVAS HIJOS DE MANUEL SANCHEZ BASARTE SA","ES",1,0.044,0
"212","CONSERVAS HIJOS DE MANUEL SANCHEZ BASARTE SA","ES",1,-2.187,1
"213","CONSULTORIA TECNICA NAVAL VALENCIANA SL","ES",1,11.366,0
"214","CONSULTORIA TECNICA NAVAL VALENCIANA SL","ES",1,-8.198,1
"215","CONSULTORIO DEXEUS SAP","ES",1,6.573,0
"216","CONSULTORIO DEXEUS SAP","ES",1,6.664,1
"217","DELAFRUIT SOCIEDAD LIMITADA.","ES",1,8.039,0
"218","DELAFRUIT SOCIEDAD LIMITADA.","ES",1,0.998,1
"219","DOMUS INGENIERIA ENERGETICA SL","ES",1,4.183,0
"220","DOMUS INGENIERIA ENERGETICA SL","ES",1,2.367,1
"221","EMERGYA DIGITAL SOLUTIONS SOCIEDAD LIMITADA.","ES",1,6.464,0
"222","EMERGYA DIGITAL SOLUTIONS SOCIEDAD LIMITADA.","ES",1,4.429,1
"223","ENERFIN SOCIEDAD DE ENERGIA SL","ES",1,-9.898,0
"224","ENERFIN SOCIEDAD DE ENERGIA SL","ES",1,20.852,1
"225","ERZIA TECHNOLOGIES S L","ES",1,3.733,0
"226","ERZIA TECHNOLOGIES S L","ES",1,0.745,1
"227","ESTABANELL IMPULSA S.A.","ES",1,5.66,0
"228","ESTABANELL IMPULSA S.A.","ES",1,7.903,1
"229","EVERIS AEROESPACIAL Y DEFENSA SL","ES",1,-3.876,0
"230","EVERIS AEROESPACIAL Y DEFENSA SL","ES",1,NA,1
"231","EVERSIA SA.","ES",1,2.242,0
"232","EVERSIA SA.","ES",1,3.859,1
"233","EXOLUM CORPORATION SA.","ES",1,36.124,0
"234","EXOLUM CORPORATION SA.","ES",1,35.296,1
"235","F. INICIATIVAS ESPANA I MAS D MAS I, SLU","ES",1,51.569,0
"236","F. INICIATIVAS ESPANA I MAS D MAS I, SLU","ES",1,37.74,1
"237","FACTOR INGENIERIA Y DECOLETAJE, SOCIEDAD LIMITADA.","ES",1,1.848,0
"238","FACTOR INGENIERIA Y DECOLETAJE, SOCIEDAD LIMITADA.","ES",1,6.929,1
"239","FCC MEDIO AMBIENTE SAU","ES",1,9.125,0
"240","FCC MEDIO AMBIENTE SAU","ES",1,8.4,1
"241","FLORETTE IBERICA SL.","ES",1,45.273,0
"242","FLORETTE IBERICA SL.","ES",1,72.291,1
"243","GESTERNOVA, SA","ES",1,1.699,0
"244","GESTERNOVA, SA","ES",1,0.082,1
